,total_population,median_household_income,population_below_poverty,renter_occupied_units,total_occupied_units,white_population,black_population,hispanic_population,county_fips,tract_code,prop_poverty,prop_renter,prop_nonwhite
21,6133,70536,771,1257,2279,1300,3275,590,005,404201,0.1257133539866297,0.5515577007459412,0.7880319582586011
22,3539,86009,309,318,1258,84,3178,0,005,402304,0.08731280022605256,0.2527821939586645,0.9762644814919469
23,4394,62738,470,1073,1582,304,3103,728,005,402306,0.10696404187528448,0.6782553729456384,0.9308147473827947
24,6077,54225,809,1616,2242,647,4784,500,005,402307,0.13312489715320058,0.72078501338091,0.89353299325325
25,1290,91731,142,484,786,988,104,49,005,408400,0.11007751937984496,0.6157760814249363,0.23410852713178298
26,4187,85879,511,908,1661,1586,490,768,005,408503,0.1220444232147122,0.5466586393738712,0.621208502507762
27,3623,132244,161,415,1472,2711,265,122,005,408505,0.04443831079216119,0.281929347826087,0.2517250897046647
28,6337,69667,1109,2779,3026,2634,1725,872,005,408507,0.1750039450844248,0.9183740912095175,0.584345905002367
29,3002,44926,789,869,1247,634,1800,352,005,492700,0.26282478347768157,0.6968724939855654,0.7888074616922052
30,3167,70817,616,877,1176,1742,1020,105,005,490303,0.19450584149036942,0.7457482993197279,0.4499526365645722
31,4522,61359,141,1294,1683,132,3817,487,005,402409,0.031180893409995577,0.7688651218062983,0.9708093763821318
32,5445,98343,169,963,2293,762,3720,174,005,402511,0.0310376492194674,0.4199738334060183,0.8600550964187328
33,4392,67966,961,1892,2432,2176,1642,108,005,490304,0.21880692167577415,0.7779605263157895,0.5045537340619308
34,4025,55712,565,1796,2144,400,3239,76,510,280301,0.14037267080745341,0.8376865671641791,0.9006211180124224
35,4938,102500,111,1312,2082,994,3431,0,005,402510,0.022478736330498177,0.6301633045148896,0.7987039287160794
36,2327,106016,178,219,1305,2165,46,116,005,403703,0.07649333906317146,0.167816091954023,0.06961753330468412
37,2217,83672,213,620,961,141,1916,50,005,402408,0.09607577807848444,0.6451612903225806,0.9364005412719891
38,4630,141647,191,619,1814,2344,2020,0,005,403704,0.04125269978401728,0.3412348401323043,0.4937365010799136
39,3844,67599,731,926,1519,1009,1652,0,005,411412,0.1901664932362123,0.6096115865701119,0.7375130072840791
40,3140,88333,125,313,1102,2179,413,162,005,411411,0.03980891719745223,0.28402903811252267,0.3060509554140127
41,3177,61604,101,1556,2509,2948,7,147,005,411413,0.03179099779666352,0.6201673973694699,0.07208057916273214
42,1975,119766,59,461,993,1638,76,44,510,240300,0.029873417721518986,0.46424974823766363,0.1706329113924051
43,4060,65956,438,567,1618,228,3109,337,510,250101,0.10788177339901478,0.3504326328800989,0.9438423645320198
44,3096,49530,398,831,1277,245,2608,48,510,250102,0.1285529715762274,0.6507439310884886,0.9208656330749354
45,3368,38922,595,1023,1700,1855,1109,179,510,250103,0.17666270783847982,0.601764705882353,0.4492280285035629
46,1750,39167,415,586,768,50,1657,23,510,250203,0.23714285714285716,0.7630208333333334,0.9714285714285714
47,2645,155444,65,441,1289,2255,124,84,510,240400,0.024574669187145556,0.3421256788207913,0.1474480151228733
48,4786,18904,2868,1519,1600,24,4694,0,510,250204,0.5992478061011283,0.949375,0.994985374007522
49,1493,102946,130,306,719,787,281,277,510,060300,0.087073007367716,0.42559109874826145,0.4728734092431346
50,1962,46657,227,571,912,824,405,463,510,260800,0.11569826707441386,0.6260964912280702,0.5800203873598369
51,2147,66000,690,530,756,116,1838,133,510,080800,0.32137866790870984,0.701058201058201,0.9459711224965067
52,3620,119386,281,1109,1922,2773,249,271,510,260900,0.0776243093922652,0.577003121748179,0.23397790055248624
53,1549,126477,83,318,795,1398,39,75,510,230200,0.05358295674628793,0.4,0.09748224661071658
54,4161,77204,246,299,1664,1689,1680,466,510,270501,0.05912040374909877,0.1796875,0.5940879596250901
55,2132,35000,781,579,916,50,2008,55,510,160200,0.36632270168855535,0.6320960698689956,0.9765478424015009
56,1541,30769,431,494,818,48,1433,51,510,100100,0.27968851395197925,0.6039119804400978,0.9688513951979234
57,1844,49063,360,563,855,127,1600,13,510,130300,0.19522776572668113,0.6584795321637427,0.9311279826464208
58,2935,63417,584,396,1143,935,1068,510,510,060100,0.1989778534923339,0.3464566929133858,0.6814310051107325
59,1099,61983,156,238,594,162,740,76,510,130805,0.14194722474977253,0.4006734006734007,0.8525932666060054
60,2023,16915,921,857,1033,95,1655,117,510,160100,0.4552644587246663,0.829622458857696,0.9530400395452299
61,2396,66795,183,667,1201,631,1690,0,510,130200,0.07637729549248748,0.5553705245628643,0.736644407345576
62,2092,45192,530,462,718,75,1943,59,510,130400,0.25334608030592737,0.6434540389972145,0.9641491395793499
63,3774,101333,234,738,1842,3290,30,127,510,130600,0.06200317965023847,0.4006514657980456,0.12824589295177535
64,4715,83789,500,1365,2635,3516,449,293,510,130700,0.10604453870625663,0.5180265654648957,0.2542948038176034
65,2352,76841,156,602,1291,1422,98,223,510,130803,0.0663265306122449,0.46630518977536795,0.39540816326530615
66,1530,70026,172,412,891,1213,142,56,510,130804,0.11241830065359477,0.4624017957351291,0.20718954248366017
67,2140,43355,458,407,719,4,1912,224,510,080301,0.21401869158878506,0.5660639777468707,0.9981308411214953
68,3668,38942,1117,816,1288,353,1694,1556,510,250205,0.30452562704471103,0.6335403726708074,0.9037622682660851
69,2199,29423,912,536,1044,113,2047,0,510,150100,0.4147339699863574,0.5134099616858238,0.9486130059117781
70,2190,34362,583,674,894,38,2152,0,510,090900,0.26621004566210044,0.7539149888143176,0.982648401826484
71,1590,51700,405,479,764,471,1047,25,510,120400,0.25471698113207547,0.6269633507853403,0.7037735849056603
72,2354,55671,257,1041,1041,86,2246,0,510,270701,0.10917587085811385,1.0,0.9634664401019541
73,1077,50962,342,159,336,57,849,73,510,080700,0.31754874651810583,0.4732142857142857,0.947075208913649
74,2867,117243,149,321,1331,2452,60,53,510,010200,0.05197070108126962,0.24117205108940645,0.14475061039414017
75,2226,20417,858,616,1080,19,2166,23,510,271801,0.38544474393531,0.5703703703703704,0.9914645103324349
76,3029,65156,465,348,1219,23,2341,544,510,150900,0.1535160118851106,0.28547990155865466,0.9924067348960053
77,1806,88266,447,330,849,808,659,26,510,261000,0.24750830564784054,0.38869257950530034,0.5526024363233666
78,2221,68836,457,325,981,1038,42,822,510,260700,0.20576316974335884,0.3312945973496432,0.5326429536244934
79,1695,21943,545,484,593,67,1549,0,510,160300,0.3215339233038348,0.8161888701517707,0.96047197640118
80,2578,68417,652,564,1083,936,1006,350,510,060200,0.2529092319627618,0.5207756232686981,0.6369278510473235
81,1224,49591,343,240,507,50,1174,0,510,200702,0.28022875816993464,0.47337278106508873,0.9591503267973857
82,1296,24896,634,421,552,241,956,72,510,260604,0.48919753086419754,0.7626811594202898,0.8140432098765432
83,3824,107895,338,1812,2436,2845,369,143,510,020300,0.08838912133891214,0.7438423645320197,0.2560146443514645
84,1451,63188,227,67,617,0,1403,28,510,280402,0.15644383184011026,0.1085899513776337,1.0
85,2755,152969,121,206,1344,2151,270,192,510,010100,0.043920145190562615,0.15327380952380953,0.2192377495462795
86,2075,152248,134,280,982,1763,0,86,510,010300,0.06457831325301205,0.285132382892057,0.15036144578313249
87,2961,132012,94,581,1544,2174,182,343,510,010400,0.031746031746031744,0.37629533678756477,0.2657885849375211
88,1914,108011,213,392,830,1354,116,273,510,010500,0.11128526645768025,0.472289156626506,0.2925809822361547
89,1698,108901,174,370,861,1122,237,239,510,020100,0.10247349823321555,0.429732868757259,0.33922261484098937
90,1480,87917,241,422,791,905,226,195,510,020200,0.16283783783783784,0.5335018963337548,0.3885135135135135
91,1709,35798,849,758,890,239,1425,16,510,030100,0.4967817437097718,0.851685393258427,0.8601521357519017
92,2885,39216,860,595,1402,0,2810,0,510,160500,0.29809358752166376,0.4243937232524964,1.0
93,1726,106118,185,221,706,1328,212,53,510,130806,0.10718424101969873,0.3130311614730878,0.23059096176129779
94,2803,38384,1408,700,1099,224,2358,64,510,140200,0.5023189439885837,0.6369426751592356,0.9200856225472708
95,1531,45086,227,598,878,173,1352,0,510,140300,0.14826910516002612,0.6810933940774487,0.8870019595035924
96,2393,46120,645,465,875,0,2376,8,510,150200,0.2695361470956958,0.5314285714285715,1.0
