,total_population,median_household_income,population_below_poverty,renter_occupied_units,total_occupied_units,white_population,black_population,hispanic_population,county_fips,tract_code,prop_poverty,prop_renter,prop_nonwhite
255,3317,84896,198,127,1289,2718,321,140,005,440500,0.059692493216762135,0.09852598913886734,0.1805848658426289
256,6430,81320,845,1468,2747,2248,2973,616,005,440701,0.13141524105754276,0.5344011649071715,0.650388802488336
257,5269,73447,298,806,2143,1975,2271,94,005,440702,0.05655722148415259,0.37610825944937004,0.6251660656671095
258,3596,76895,366,851,1427,966,1475,441,005,440800,0.1017797552836485,0.5963559915907498,0.7313681868743047
259,3965,79046,344,842,1487,1039,2448,265,005,440900,0.08675914249684742,0.5662407531943511,0.7379571248423707
260,4851,77500,562,828,2048,3207,1202,58,005,492200,0.11585240156668727,0.404296875,0.3388991960420532
261,1944,29574,647,466,855,31,1821,0,510,090800,0.33281893004115226,0.5450292397660819,0.9840534979423868
262,2715,22529,1215,951,1048,68,2590,20,510,100200,0.44751381215469616,0.9074427480916031,0.9749539594843463
263,4312,94236,423,1242,2442,2301,634,430,510,120100,0.09809833024118739,0.5085995085995086,0.4663729128014842
264,2757,61103,413,1639,1924,1770,618,98,510,110100,0.1498005077983315,0.8518711018711018,0.3579978237214363
265,6135,70919,1190,3495,4113,2832,1726,365,510,110200,0.19396903015484923,0.849744711889132,0.5383863080684597
266,3954,70776,844,846,1542,1536,1854,229,510,120300,0.21345472938796156,0.5486381322957199,0.6115326251896813
267,4710,94097,554,499,1733,2975,1088,215,005,451803,0.11762208067940552,0.2879399884593191,0.3683651804670913
268,4429,74774,1350,408,1265,2872,1024,501,005,451500,0.3048092120117408,0.32252964426877473,0.3515466245202077
269,2266,56776,384,765,1230,766,1181,54,510,120500,0.16946160635481025,0.6219512195121951,0.6619593998234775
270,2805,30887,704,1357,1600,1195,1203,156,510,120600,0.25098039215686274,0.848125,0.5739750445632799
271,3423,14978,1893,1296,1517,97,3198,0,510,280600,0.5530236634531113,0.8543177323665129,0.9716622845457201
272,3260,62279,290,202,1267,2814,227,131,005,450200,0.08895705521472393,0.15943172849250198,0.13680981595092023
273,3383,99076,231,375,1331,2754,222,355,005,450300,0.06828258941767662,0.28174305033809166,0.18592964824120606
274,3869,49589,495,674,1690,3005,268,203,005,450501,0.12794003618506075,0.3988165680473373,0.22331351770483332
275,6102,65160,905,1570,2370,1110,3846,359,005,450503,0.1483120288430023,0.6624472573839663,0.8180924287118978
276,6246,40267,1233,2480,2668,1521,3829,307,005,450504,0.19740634005763688,0.9295352323838081,0.7564841498559078
277,5798,54569,976,728,1954,2381,710,2479,510,260605,0.16833390824422215,0.3725690890481064,0.5893411521214211
278,2175,151771,87,342,987,1793,61,108,510,261100,0.04,0.3465045592705167,0.17563218390804602
279,1453,92237,200,75,542,847,512,21,510,270101,0.13764624913971094,0.13837638376383765,0.41706813489332417
280,3357,54604,702,242,1364,625,2559,104,510,270102,0.20911528150134048,0.1774193548387097,0.8138218647602026
281,1686,102543,109,129,737,808,696,173,510,270200,0.06465005931198102,0.17503392130257803,0.5207591933570581
282,3492,84519,347,166,1217,990,2318,73,510,270301,0.09936998854524627,0.13640098603122433,0.7164948453608248
283,1752,71548,240,200,718,717,863,49,510,270302,0.136986301369863,0.2785515320334262,0.5907534246575342
284,4458,78162,625,669,1722,1792,2055,370,005,450800,0.1401973979362943,0.3885017421602787,0.5980260206370569
285,4393,113750,253,95,1664,3416,613,267,005,450900,0.05759162303664921,0.05709134615384615,0.22239927156840433
286,1822,131705,104,69,655,1602,55,31,005,451000,0.0570801317233809,0.10534351145038168,0.12074643249176731
287,2297,130153,94,175,729,1293,811,83,005,451100,0.04092294296909012,0.24005486968449932,0.43709185894645186
288,3334,51994,550,663,1370,1918,678,498,005,451300,0.16496700659868027,0.48394160583941603,0.42471505698860224
289,1846,78542,154,305,866,1463,74,216,005,451600,0.08342361863488625,0.35219399538106233,0.2074756229685807
290,3353,109219,239,154,1243,2879,31,0,005,452100,0.07127945123769758,0.12389380530973451,0.14136594094840438
291,2663,126048,105,193,1056,2535,18,50,005,451900,0.039429215170859934,0.18276515151515152,0.04806609087495306
292,2803,53221,776,423,1075,1502,547,631,005,452300,0.27684623617552623,0.39348837209302323,0.4641455583303603
293,2710,79911,176,165,1045,2256,210,0,005,452000,0.06494464944649446,0.15789473684210525,0.16752767527675272
294,3982,169911,93,0,1421,3268,77,191,005,490100,0.0233550979407333,0.0,0.17930688096433955
295,4532,80570,299,330,1786,1209,3038,47,510,270600,0.06597528684907325,0.18477043673012317,0.7332303618711385
296,5007,78711,696,533,1834,1292,3528,58,510,270401,0.1390053924505692,0.2906215921483097,0.7419612542440583
297,3782,92841,267,163,1205,1353,2321,29,510,270402,0.07059756742464304,0.13526970954356846,0.6422527763088313
298,3874,86905,321,386,1614,1475,2201,146,510,270502,0.08286009292720702,0.23915737298636927,0.6192565823438307
299,3260,29292,924,1015,1577,183,3012,0,510,151200,0.28343558282208586,0.6436271401395054,0.9438650306748466
300,4513,50341,918,758,1521,178,3969,184,510,151300,0.2034123642809661,0.4983563445101907,0.96055838688234
301,1566,31484,711,473,735,18,1459,0,510,160400,0.4540229885057471,0.6435374149659864,0.9885057471264368
302,1874,103229,59,59,743,1756,14,23,005,451702,0.03148345784418356,0.07940780619111709,0.0629669156883671
303,5609,75500,893,498,1908,3524,1107,326,005,451801,0.1592084150472455,0.2610062893081761,0.37172401497593155
304,3192,134766,215,38,1063,2194,58,93,005,490200,0.06735588972431078,0.03574788334901223,0.3126566416040101
305,3687,100669,221,534,1310,2654,537,114,005,490302,0.05994033089232438,0.4076335877862595,0.28017358285869265
306,2280,175000,24,84,844,2102,6,93,005,490601,0.010526315789473684,0.0995260663507109,0.07807017543859651
307,3015,118936,123,564,1320,2387,114,137,005,490602,0.04079601990049751,0.42727272727272725,0.20829187396351578
308,5069,10000,292,166,166,2758,1539,397,005,490605,0.05760505030578023,1.0,0.45590846320773326
309,1660,114509,69,218,643,1472,114,35,005,490701,0.04156626506024096,0.3390357698289269,0.11325301204819282
310,3711,44674,635,762,1480,0,3648,11,510,160700,0.171112907572083,0.5148648648648648,1.0
311,3131,48828,740,433,1174,40,2899,80,510,160801,0.23634621526668795,0.368824531516184,0.9872245289045034
312,3270,53472,935,417,1038,12,3243,0,510,160802,0.28593272171253825,0.40173410404624277,0.9963302752293578
313,2283,67011,147,627,1043,588,1492,47,510,270702,0.06438896189224705,0.6011505273250239,0.7424441524310118
314,3484,61875,246,308,1309,450,2750,0,510,270801,0.07060849598163031,0.23529411764705882,0.8708381171067738
315,3321,118454,194,352,1363,1461,1745,14,510,270703,0.058416139716952725,0.2582538517975055,0.5600722673893406
316,2472,204688,12,18,783,2068,78,75,005,491000,0.0048543689320388345,0.022988505747126436,0.1634304207119741
317,3799,153333,102,231,1218,2492,583,238,005,491100,0.026849170834430114,0.1896551724137931,0.3440379047117662
318,2941,112350,73,655,1565,2039,219,141,005,490703,0.024821489289357363,0.4185303514376997,0.30669840190411424
319,2033,84185,153,254,869,1273,528,17,005,491201,0.07525823905558288,0.29228998849252014,0.3738317757009346
320,3105,68835,836,542,1273,2663,57,107,005,490800,0.2692431561996779,0.4257659073055774,0.14235104669887277
321,4509,63452,1215,1658,2614,2919,1030,313,005,490900,0.2694610778443114,0.6342769701606733,0.3526280771789754
322,5774,55929,1044,1071,2467,194,4435,642,510,270802,0.18081052996189817,0.4341305229023105,0.9664011084170419
323,3962,149844,204,307,1512,2774,130,506,510,271400,0.05148914689550732,0.20304232804232805,0.29984856133266025
324,4363,113403,362,631,1777,3016,845,241,510,271501,0.08297043318817328,0.3550928531232414,0.3087325234930094
325,1966,68929,266,514,1006,1321,119,258,510,120700,0.1353001017293998,0.510934393638171,0.32807731434384535
326,3044,30048,868,1461,1732,226,2642,19,510,130100,0.2851511169513798,0.8435334872979214,0.9257555847568988
327,1805,38143,535,802,882,323,1274,80,510,170100,0.296398891966759,0.909297052154195,0.8210526315789474
328,2457,14192,1333,1277,1316,141,2222,12,510,170200,0.5425315425315426,0.9703647416413373,0.9426129426129426
329,2006,21895,725,677,912,0,1882,77,510,170300,0.3614157527417747,0.7423245614035088,1.0
330,1821,52000,198,400,750,507,764,173,510,190200,0.10873146622734761,0.5333333333333333,0.7215815485996705
331,2122,40000,639,674,839,562,1437,56,510,190300,0.30113100848256363,0.8033373063170441,0.7351555136663526
332,1437,39844,431,399,595,13,1337,34,510,200100,0.29993041057759223,0.6705882352941176,0.9909533750869868
333,1827,26551,724,405,777,74,1580,151,510,200200,0.39627805145046524,0.5212355212355212,0.9594964422550629
334,1025,35000,443,252,440,318,605,0,510,200300,0.4321951219512195,0.5727272727272728,0.6897560975609756
335,1188,39565,320,304,448,72,1015,36,510,200400,0.26936026936026936,0.6785714285714286,0.9393939393939394
336,5867,50529,587,1508,2731,292,5342,32,510,270803,0.10005113345832622,0.5521786891248627,0.950230100562468
337,5676,65571,424,520,1938,399,4823,301,510,270805,0.07470049330514447,0.26831785345717235,0.9297040169133193
338,3836,59142,412,868,1722,185,3363,56,510,270901,0.10740354535974973,0.5040650406504065,0.9517726798748697
339,4174,70119,239,262,1268,231,3539,38,510,270902,0.05725922376617154,0.20662460567823343,0.9446574029707715
340,2630,54617,435,831,1365,922,1173,272,510,270804,0.16539923954372623,0.6087912087912087,0.6494296577946768
341,935,71875,45,101,639,633,233,9,510,271503,0.0481283422459893,0.15805946791862285,0.3229946524064171
342,6292,45662,1758,1080,2324,2926,1824,992,005,430300,0.2794024157660521,0.46471600688468157,0.534965034965035
343,7200,72105,797,1717,2378,868,3027,1777,005,401507,0.11069444444444444,0.7220353238015139,0.8794444444444445
344,5828,98900,415,665,2316,3172,1453,485,005,404404,0.0712079615648593,0.28713298791019,0.45573095401509955
345,5680,90973,286,656,2218,2392,2058,496,005,404102,0.05035211267605634,0.2957619477006312,0.5788732394366197
346,5032,68533,940,770,2303,1741,2100,676,005,403402,0.18680445151033387,0.3343465045592705,0.6540143084260731
347,3604,85278,333,1007,1832,2059,1244,0,005,403401,0.09239733629300777,0.5496724890829694,0.4286903440621531
348,5327,49830,2469,1322,1877,1528,2974,154,005,451402,0.4634878918715975,0.7043153969099627,0.7131593767599024
349,5228,73504,407,922,1984,1376,3085,35,005,404403,0.07785003825554705,0.4647177419354839,0.7368018362662586
350,3896,98542,275,488,1419,723,1627,268,005,451401,0.07058521560574949,0.3439041578576462,0.8144250513347022
351,3815,63036,354,225,1514,3082,423,132,005,492300,0.0927916120576671,0.14861294583883752,0.1921363040629096
352,2904,73875,528,54,1036,1874,152,295,005,430104,0.18181818181818182,0.052123552123552123,0.35468319559228645
353,3516,99028,0,0,17,1686,1087,279,005,492500,0.0,0.0,0.5204778156996588
354,1841,57372,482,707,884,576,1140,56,510,180300,0.2618142313959804,0.7997737556561086,0.6871265616512765
355,1819,27386,761,585,783,90,1608,14,510,190100,0.41836173721825176,0.7471264367816092,0.9505222649807586
356,2002,28995,919,674,930,400,1304,261,510,200500,0.45904095904095904,0.7247311827956989,0.8001998001998002
357,2387,43869,514,603,1035,286,1881,97,510,200600,0.21533305404273145,0.5826086956521739,0.880184331797235
358,3774,39949,549,799,1810,38,3641,45,510,200701,0.14546899841017488,0.4414364640883978,0.9899311075781664
359,2214,54313,256,484,804,132,1867,59,510,200800,0.11562782294489611,0.6019900497512438,0.940379403794038
360,4992,62250,348,449,1270,588,3781,241,510,270903,0.06971153846153846,0.3535433070866142,0.8822115384615384
361,2300,40050,714,640,921,45,2077,11,510,271001,0.31043478260869567,0.6948968512486428,0.9804347826086957
362,3761,59625,661,528,1432,144,3384,233,510,271002,0.17575113001861206,0.3687150837988827,0.9617123105557033
363,2293,58583,419,418,885,937,818,237,510,271101,0.18273004797208897,0.47231638418079097,0.5913650239860444
364,4867,229743,15,18,497,2791,1221,254,510,271102,0.003081980686254366,0.03621730382293763,0.4265461269776043
365,6435,206680,135,354,2122,4773,803,165,510,271200,0.02097902097902098,0.16682375117813383,0.25827505827505826
366,2951,163667,133,403,1122,1830,327,419,510,271300,0.04506946797695696,0.3591800356506239,0.37987123009149437
367,2143,87433,223,487,1041,630,1243,52,510,210100,0.10405972935137657,0.4678194044188281,0.7060195986934205
368,4301,87581,696,1653,2642,2965,675,126,510,220100,0.16182283189955823,0.625662376987131,0.31062543594512904
369,1416,110125,204,534,746,1140,129,65,510,230300,0.1440677966101695,0.7158176943699732,0.19491525423728817
370,3457,157393,181,597,1779,2923,104,183,510,240100,0.052357535435348566,0.33558178752107926,0.15446919294185713
371,3711,47042,1001,977,1625,878,2043,432,510,210200,0.2697386149285907,0.6012307692307692,0.7634060900026947
372,2596,152722,41,533,1469,2212,126,92,510,240200,0.015793528505392913,0.36283185840707965,0.1479198767334361
373,3880,44303,1029,836,1367,248,3263,21,510,271600,0.2652061855670103,0.6115581565471836,0.9360824742268041
374,4638,47821,905,824,1742,424,3962,28,510,271700,0.1951272100043122,0.4730195177956372,0.9085812850366537
375,2111,102321,222,755,1171,1219,642,130,510,230100,0.10516342965419233,0.6447480785653288,0.4225485551871151
376,3853,63601,462,1411,2010,2132,1113,51,510,140100,0.1199065663119647,0.7019900497512438,0.4466649364131845
377,5409,153984,52,144,2009,4446,81,129,005,408704,0.009613606951377335,0.07167745146839223,0.1780366056572379
378,3163,97438,264,471,1309,1873,808,152,005,400600,0.08346506481188745,0.359816653934301,0.40784065760354093
379,2229,69904,271,70,856,118,2011,41,005,402403,0.12157918349035442,0.08177570093457943,0.9470614625392553
380,4355,124097,88,74,1563,3590,95,95,005,408601,0.020206659012629163,0.04734484964811261,0.17566016073478763
381,1980,153047,40,26,759,1538,56,75,005,408602,0.020202020202020204,0.034255599472990776,0.22323232323232323
382,2249,127039,30,201,902,1997,41,21,005,408702,0.013339261894175189,0.22283813747228381,0.11204979991107156
383,6635,109228,119,694,2818,5275,260,151,005,408703,0.017935192162773173,0.24627395315826828,0.20497362471740765
384,5431,49177,1283,1384,2332,270,3603,1433,005,402404,0.2362364205487019,0.5934819897084048,0.9502853986374517
385,2187,106500,106,322,932,1853,28,90,005,408800,0.04846822130772748,0.34549356223175964,0.15272062185642432
386,3443,90317,499,728,1448,1847,730,214,005,411307,0.14493174557072322,0.5027624309392266,0.46354923032239326
387,5261,130375,50,472,2355,3996,730,103,005,400400,0.009503896597605019,0.20042462845010617,0.24044858391940693
388,2795,171292,67,19,1003,2555,70,8,005,400500,0.023971377459749553,0.018943170488534396,0.08586762075134169
389,3697,57353,822,1001,1538,1319,2003,180,510,272007,0.22234243981606708,0.6508452535760728,0.6432242358669191
390,2141,152917,96,24,780,1639,150,178,005,404800,0.044838860345632885,0.03076923076923077,0.23446987389070528
391,5446,143133,71,43,2058,4660,401,194,005,406000,0.013037091443261109,0.02089407191448008,0.1443261109070878
392,2754,109762,240,186,1104,2618,44,0,005,404600,0.08714596949891068,0.16847826086956522,0.04938271604938271
393,6957,103125,820,118,2348,823,5592,158,005,402604,0.11786689665085526,0.05025553662691652,0.8817018829955441
394,3159,235821,241,19,985,2664,28,73,005,403802,0.07628996517885407,0.019289340101522844,0.15669515669515666
395,5084,175592,158,40,1775,4618,121,117,005,410200,0.03107789142407553,0.022535211267605635,0.0916601101494886
396,1954,191429,156,27,640,1779,19,49,005,490400,0.07983623336745138,0.0421875,0.08955987717502556
397,5453,59323,911,1539,2261,912,3589,723,005,402503,0.16706400146708233,0.680672268907563,0.8327526132404182
398,2909,162083,114,54,1182,2414,33,50,005,408302,0.03918872464764524,0.04568527918781726,0.17016156754898593
399,6426,132188,146,722,2419,5314,551,100,005,408100,0.022720199190787427,0.29847044233154196,0.17304699657640832
400,4109,139904,318,115,1312,2818,530,163,005,411302,0.07739109272329034,0.08765243902439024,0.3141883669992699
401,3397,85920,509,110,1107,1422,1456,279,005,402201,0.14983809243450102,0.0993676603432701,0.5813953488372092
402,3482,122938,38,53,1227,2867,166,95,005,411404,0.010913268236645606,0.04319478402607987,0.17662263067202755
403,2225,74960,440,22,780,101,2077,22,005,403202,0.19775280898876405,0.028205128205128206,0.9546067415730337
404,3901,59167,676,604,1460,450,3000,404,005,402405,0.173288900281979,0.4136986301369863,0.8846449628300436
405,4672,93750,153,206,1747,318,3736,129,005,402506,0.032748287671232876,0.1179164281625644,0.9319349315068494
406,2063,100839,197,111,747,344,1560,74,005,402602,0.0954920019389239,0.14859437751004015,0.8332525448376151
407,3470,92366,202,31,1251,375,2382,595,005,403201,0.05821325648414986,0.02478017585931255,0.8919308357348703
408,4708,80444,789,707,1816,403,3580,164,005,401506,0.16758708581138487,0.3893171806167401,0.9144010195412065
409,1136,79861,33,221,536,230,757,33,005,402407,0.029049295774647887,0.4123134328358209,0.7975352112676056
410,6745,112595,426,991,3120,2891,2831,187,005,404101,0.06315789473684211,0.3176282051282051,0.5713862120088955
411,6646,102174,527,1229,3034,1260,4586,47,005,492402,0.07929581703280168,0.4050758075148319,0.8104122780619922
412,4745,94412,154,536,2292,3871,159,144,005,408304,0.032455216016859856,0.2338568935427574,0.18419388830347738
413,2411,93879,97,159,814,519,1693,113,005,403100,0.040232268768146,0.19533169533169534,0.7847366238075487
